file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/CartesianPoint.java,co.elastic.clients.elasticsearch._types.CartesianPoint$Builder,innerclass,4,4,0,4,4,2,0,1,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,2,0,2,0,0,2,0,0,0,0,0,19,4,0,0,0,0,0,0,2,0,2,0,0,0,0,27,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/cluster/ClusterStatsRequest.java,co.elastic.clients.elasticsearch.cluster.ClusterStatsRequest$Builder,innerclass,7,7,0,7,7,1,0,6,17,0.7619047,0.0952381,0.0952381,7,0,6,0,1,0,7,0,5,0,3,0,0,3,0,0,0,0,0,31,7,0,0,0,0,0,0,4,0,3,0,0,0,0,75,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/test/java/co/elastic/clients/transport/rest5_client/low_level/RestClientGzipCompressionTests.java,co.elastic.clients.transport.rest5_client.low_level.RestClientGzipCompressionTests,class,19,21,2,19,17,3,0,37,33,0.6,0.14285715,0.14285715,10,4,7,3,0,0,7,0,0,0,1,1,0,1,0,0,0,0,10,131,2,1,0,0,1,27,13,29,0,27,1,0,2,0,80,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/watcher/SlackResult.java,co.elastic.clients.elasticsearch.watcher.SlackResult,class,12,16,4,12,9,2,0,13,8,0.5833333,0.23809524,0.2857143,8,2,5,1,2,0,7,0,2,0,3,1,1,2,0,0,3,0,0,60,4,0,1,0,0,5,0,3,0,3,1,0,1,0,42,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/security/GetServiceCredentialsRequest.java,co.elastic.clients.elasticsearch.security.GetServiceCredentialsRequest$Builder,innerclass,4,4,0,4,4,1,0,1,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,2,0,2,0,0,2,0,0,0,0,0,19,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,9,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/_types/mapping/ShortNumberProperty.java,co.elastic.clients.elasticsearch._types.mapping.ShortNumberProperty,class,13,17,4,13,7,10,0,11,3,0.5833333,0.3,0.3,6,2,3,1,2,0,5,0,1,0,2,1,1,1,0,0,2,0,1,44,3,0,1,0,0,5,0,2,0,2,1,0,1,0,41,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/watcher/EmailAction.java,co.elastic.clients.elasticsearch.watcher.EmailAction,class,8,12,4,8,3,4,0,4,3,0.6666667,0.0,0.0,3,2,1,1,1,0,2,0,0,0,1,1,1,0,0,0,1,0,1,21,1,0,0,0,0,0,0,1,0,1,0,0,1,0,26,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/ml/GetCalendarsRequest.java,co.elastic.clients.elasticsearch.ml.GetCalendarsRequest,class,19,23,4,19,18,2,0,17,12,0.7037037,0.10714286,0.10714286,9,2,6,1,2,0,8,0,4,0,6,2,2,4,0,0,6,0,0,120,10,0,9,0,2,13,8,16,2,18,1,0,1,4,93,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/ilm/PutLifecycleResponse.java,co.elastic.clients.elasticsearch.ilm.PutLifecycleResponse,class,7,12,5,7,3,2,0,4,3,0.6666667,0.0,0.0,3,2,1,1,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,0,0,1,0,29,1,0
/Users/thiago/Documents/Thiago/CodeToAnalyze/elasticsearch-java/java-client/src/main/java/co/elastic/clients/elasticsearch/indices/recovery/TranslogStatus.java,co.elastic.clients.elasticsearch.indices.recovery.TranslogStatus$Builder,innerclass,7,7,0,7,9,2,0,4,34,0.8703704,0.027777778,0.027777778,9,0,8,0,1,0,9,0,7,0,6,0,0,6,0,0,0,0,0,42,9,0,0,0,0,0,0,6,0,6,0,0,0,0,39,9,0
